"","Pub.number","Department","Author","Title","School","Degree","Year","Pages","ABSTRACT","Method.Terms","Notes","Clin","Crit","Disc","Ethn","Expt","Hist","Intv","Meta","Modl","Phil","Poet","Prac","Rhet","Surv","Othr","Ped","Method.Count","Exclude.Level","Aggreg","Phenom","Dialec","Techne","Counts.simple","Subject","KEYWORDS","Advisor.type","Advisor.Name","School_original","Link","X500","Advisor","Subject.Codes","Subject.Terms","Flags","Tagged.By","Andrew.Tags","Sandra.Tags","Sandra.Notes","Ben.Tags","Ben.Flags","Ben.Notes","rownumber"
"15","3003427","English","COTCH, ALANNA K.","_Ê_Being among the pioneers_Êù: Rhetorics of activism in the narratives of nineteenth-century American women writers","University of New Mexico-Main Campus","Ph.D.",2001,228,"Catharine Maria Sedgwick's <italic>Hope Leslie</italic> (1827), Harriet Jacobs' <italic>Incidents in the Life of a Slave Girl</italic> (1861), Louisa May Alcott's Work: <italic>A Story of Experience</italic> (1873), and Frances E. W. Harper's <italic>Iola Leroy</italic> (1892) all contain politically active female protagonists who challenge and embrace the political culture of nineteenth-century America. These protagonists function as models of activism for nineteenth-century female audiences, revealing the ways in which readers may become politically active agents of change. Placing these texts in the context of nineteenth-century rhetorical tradition reveals the ways in which they engage in a civic-minded, neoclassical rhetorical practice that was popular in the early part of the century. Sedgwick, Jacobs, Alcott, and Harper each creates in her protagonist a literary incarnation of the neoclassical rhetorical ideal, the _Ê_good man speaking well_Êù who persuades his audience to act for the good of the nation. These authors both adhere to and transform this male model by giving their female protagonists opportunities to speak publicly and to persuade their audiences about issues the authors saw as vital to the future of the nation. Hope Leslie, Linda Brent, Christie Devon, and Iola Leroy thus establish themselves as voices of dissent, calling attention to the ills of a nation, and as voices of reform, encouraging readers to act against injustice and to strengthen their country. These texts, therefore, function as sites of public discourse and political activism. ^ Together these texts form a trajectory that reveals nineteenth-century American women writers' increasing willingness (or ability) to imagine rhetorically powerful women who are integrated into their political landscapes. This trajectory parallels the progress that white women and African Americans made as they gained more public visibility and demanded more rights. Together, these novels demonstrate that women writers in the nineteenth century, like their colleagues in the women's rights, abolitionist, and temperance movements, had much to contribute to political discourse. Reevaluation of these texts, therefore, can also help us reevaluate the contributions that women made to both the political and rhetorical climate of nineteenth-century America. ^","Critical / Hermeneutical|Historical / Archival|Rhetorical Analysis ~check","",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,"Women's Studies|Literature, American|Language, Rhetoric and Composition","Frances E. W. Harper|Louisa May Alcott|Nineteenth century|Women writers|Activism|Narratives|Harriet Jacobs|Catharine Maria Sedgwick|Rhetorics","Director","Minrose Gwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3007461","Communication","HOLM, TODD T.","_Ê_I told them not to cheat, what more can I do?_Êù: Communication strategies to reduce cheating in the public speaking classroom","Ohio University-Main Campus","Ph.D.",2001,182,"The purpose of this study was to evaluate the effectiveness of three communication strategies (the use of pro-public speaking rhetoric, increasing students' awareness of cheating, and threats of punitive measures) in reducing cheating behaviors in the basic public speaking classroom. To evaluate these strategies the three treatments were implemented in 23 public speaking classrooms at three post-secondary educational institutions. The students in the classes were given a questionnaire composed of dichotomous, scale, and open-ended questions following the final examination. The results were compared to a control group. A total of 342 usable questionnaires were returned. In addition to the questionnaires, focus group interviews were conducted to enrich the data collected. ^ The findings of the research project suggest that institutional type (public four-year, religious four-year, and public two-year) had no impact on self-reported instances of cheating. The study also revealed that there was no significant difference in the effectiveness of treatment types based on institutional types. Finally, the study revealed a statistically significant difference in the effectiveness of cheating prevention strategies. While none of the strategies were statistically significantly different from the control group, a statistically significant difference was found between the one of the treatment groups (threats of punitive measures) and the other two groups (pro-public speaking rhetoric, increasing students' awareness of cheating). A <italic>post hoc</italic> Tukey revealed that it is significantly more advantageous for instructors to use pro-public speaking rhetoric or increase students' awareness of cheating than to use threats of punitive measures. ^ The research also revealed students cheated on performance assignments (speeches) more often than they cheated on non-performance assignments (tests, homework, etc.).^","Experimental|Interview / Focus Group ~check","",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,"Education, Language and Literature|Speech Communication|Language, Rhetoric and Composition","Communication|Cheating|Punitive measures|Public speaking","Adviser","Anita C. James",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3008780","English","ARROYO, FRED","Discursive inheritances and the debt of composition: Beginnings, memories, and the voice of participation","University of Wisconsin-Milwaukee","Ph.D.",2001,211,"In this dissertation I share my literacy narrative and practices with others, and I argue that my literacy narrative and practices are only possible because of others. There have always been and will continue to be arguments for monolinguistic literacy practices. These practices, however, create artificial distinctions between language practices that are _Ê_good_Êù and those that are _Ê_bad_Êù; and monolinguistic literacy practices are often aligned with an agonistic narrative of progress in which new texts _Ê_master_Êù the work of past texts and individuals. In arguing against monolinguistic literacy practices, I do so because I have discursive inheritances and debts to others I must acknowledge and struggle with. To this end, I argue for and enact a literacy theory and practice that is dialogic, reflective, and recursive, that listens to past texts, while critically responding to or reading these texts in relation to subjective experiences and other texts. Throughout this dissertation, moreover, I emphasize the creation of agency by returning to three key terms: <italic>beginnings, memories</italic>, and <italic>participation </italic>. These terms locate and give shape to my literacy practices, and they also help my readers to study in detail sites of struggle or <italic> agonia</italic>_Êîthe <italic>subjective</italic>, the <italic>textual </italic>, the <italic>pedagogical</italic>, and the <italic>scholarly</italic>_Êîthat show how agency is created when an individual engages with an existing structure or truth. Each site is given its own chapter, and each chapter works as a piece of <italic>memory</italic> or a <italic>beginning</italic> that help me to narrate and <italic>participate</italic> within my literacy practices. Accordingly, readers witness how my dialogic practices begin ethical participation within composition and rhetoric. Monolinguistic literacy practices must be struggled against, I contend, lest composition and rhetoric deny the <italic> beginnings, memories</italic>, and <italic>participation</italic> of others. ^","Poetic / Fictive|Philosophical / Theoretical ~check","",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,2,"Education, Language and Literature|Language, Rhetoric and Composition|Education, Philosophy of","Debt of composition|Autobiography|Discursive inheritances|Composition|Agency","Supervisor","Alice Gillam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3009064","Communication","SULLIVAN, ROBERT G.","Isocrates and the forms of rhetorical discourse","University of Maryland-College Park","Ph.D.",2001,230,"Though the Attic rhetorician Isocrates (436_Ê_338 B.C.E.) was an influential figure in the early history of rhetoric, little attention has been paid to the details of his rhetorical theory. This dissertation reconstructs Isocrates' conception of the forms of rhetorical discourse. The first chapter of the dissertation reviews scholarly attempts to classify the Isocratean discourses. It is demonstrated that, from the time of Isocrates' career to the present era, theorists have misrepresented his discourses by forcing them into interpretive molds with which they are not compatible. This is symptomatic of widespread misunderstanding of Isocratean rhetorical theory. The second chapter describes Isocrates' complex and interesting conception of rhetorical action. Isocrates' theory of rhetorical composition aimed at the achievement of specified goals. The major goal of the second chapter is to compile and define the goals which Isocrates specified as being legitimate purposes of discourse, including ê_ê¢ _Ê_offering general advice,_Êù _Ê_admonishment,_Êù _Ê_dissuasion,_Êù _Ê_exhortation,_Êù _Ê_requesting,_Êù _Ê_censure,_Êù _Ê_accusation,_Êù _Ê_defense,_Êù _Ê_praise,_Êù _Ê_lamentation,_Êù _Ê_introduction,_Êù _Ê_exposition,_Êù and _Ê_display._Êù In the third chapter a number of prose forms mentioned or used by Isocrates are described. Isocrates knew of a large number of prose forms, including speeches appropriate for deliver in courts of law and deliberative assemblies, letters, panegyrics, encomia, paraineseis, and essays. The structures of these vehicles are in many places specified by Isocrates; in others places they can be inferred from his practice. In the fourth chapter each of the thirty Isocratean discourses is described as a conventional form which aims at the achievement of a particular purpose or purposes. The dissertation concludes with an appendix in which the various meanings of the Isocratean term for _Ê_form,_Êù <italic>idea</italic> or <italic>eidos,</italic> are specified. ^","Critical / Hermeneutical|Rhetorical Analysis|Philosophical / Theoretical ~check","close reading of one theorist",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,1,"Language, Rhetoric and Composition","Discourse|Greek|Isocrates|Rhetorical","Director","Robert N. Gaines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","3013429","English","HURLEY, PAMELA EHRHART","The writing of clinical research associates in contract research organizations: A case study","University of South Carolina-Columbia","Ph.D.",2001,221,"This dissertation has four primary components, all which focus on the writing of clinical research associates (CRAs) in contract research organizations (CROs). The first section analyzes technical writing texts published in the 1990s and nursing texts published between 1986 and 1999 to determine the applicability of their guidance to the writing done by CRAs. The survey of several well-known technical writing texts provides an overall idea of the major tenets of these texts and their evolution from earlier ones. Nursing texts are included because many CRAs have nursing backgrounds; these texts are examined to discover if writing (outside of charting) is taught in the nursing curriculum. Nursing texts are also analyzed to discover the approach used to teach writing to nursing students. ^ The second segment examines the CRO, discusses the drug-approval process, and provides information on the costs and time associated with the drug-approval process. Included is a description of BetterDrug, Inc., a fictionalized, yet representative, composite of the various CROs used in this research. Also described is Nancy Monitor, a fictional CRA who works at BetterDrug Pharmaceuticals, Inc. Nancy is a composite of the CRAs interviewed for this project, but is not meant to represent any one CRA. As an illustrative writer, Nancy Monitor allows us to better understand the CRA's writing strategies and her role within the CRO. Creating the fictional BetterDrug, Inc., allows Nancy's documents to be placed within a particular context and within a particular organizational culture. ^ The third major section discusses three typical representative CRO documents: the phone contact report, the query, and follow-up letter. In this part, the documents are first presented as they are <italic>typically</italic> written (based on the documents analyzed and used for this dissertation) by CRAs. Then, the rhetorical concepts of Aristotle, Burke, and Rogers are applied to determine if the application of these rhetorical strategies might enhance the documents by making them more user-friendly and accessible, while promoting the writer's ethos. ^ Finally, recommendations are made for universities and for CROs that wish to better train their CRAs to meet the multiple and varied writing tasks they face. Specific modules to be included in a semester-long course are outlined. The proposed modules are based on the research I have conducted within CROs since 1995, and are intended to be used in universities that are developing more industry-specific writing courses and are relying less on the general technical writing course. ^","Ethnographic ~check|Poetic / Fictive|Rhetorical Analysis ~check","",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,1,1,3,"Language, Rhetoric and Composition","Contract research organizations|Clinical research associates|Writing|Research associates","Director","Steven Lynn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","3014694","English","SEARLS, SUSAN MONET","Race, citizenship and the institutionalization of English: A historical inquiry into the future of the field","Pennsylvania State University-Main Campus","Ph.D.",2001,222,"The principle objectives of this thesis are twofold. First, I offer an analysis of the shifts within the social and political landscape of the culture and shifts within the liberal arts curriculum of turn-of-the-century American universities, the institutionalization of which dramatically altered the nature and purpose of higher education. Specifically, I undertake to examine the rise of literary studies and the simultaneous displacement of classical rhetorical training. I argue that to understand the institutionalization of Literature, scholars must address the advance of capitalism <italic>and</italic> the impact of mass immigration, quasi-scientific discourses such as evolution, efficiency and eugenics, and the nation's commitment to racial segregation. These events induced dramatic reconceptualizations of liberal political philosophy, national identity, citizenship, and race_Êîall of which affected educational thought and practice. Thus, as the concept of citizenship changed from a learned activity to an innate capacity determined by one's racial inheritance, university curricula shifted from civic to literary education. ^ Second, I attempt to theorize, in light of the raced history of the institutionalization of English, the important and necessary use of the democratic imperative to expand individual and collective capacities to self-govern as an ethical referent for what we in English departments do. Specifically, I draw on critical traditions in cultural studies and classical rhetoric that engage the questions of culture, individual and collective agency, and substantive democracy. Working in the intersection of these fields, I focus on the contributions two figures who took part in reform movements that emerged largely outside the university yet managed to bridge the concerns of students with those of ordinary citizens. The first was the adult education movement in Britain largely associated with the work of Raymond Williams, which became one of the seminal influences in shaping contemporary cultural studies. I also draw from the work of Cornelius Castoriadis, whose writing had a profound impact on the French student-worker movement of 1968. This analysis, I argue, is necessary to defend the university as one of the last public spheres for dialogue and debate so essential to the ongoing political education of citizens and the revitalization of democracy itself. ^","Historical / Archival|Meta-Analysis / Discipliniography ~check|Philosophical / Theoretical|Cultural-Critical Studies","",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,1,0,1,0,2,"Literature, General|Education, History of|Language, Rhetoric and Composition","Race|Citizenship|English|Institutionalization","Adviser","Evan Watkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","3015734","Technical Communication and Rhetoric","DAYTON, DAVID DEAN","Electronic editing in technical communication: Practices, attitudes, and impacts","Texas Tech University","Ph.D.",2001,438,"This dissertation examines the adoption and diffusion of computer-aided editing methods in technical communication. It begins with a literature-based, critical investigation into the reported reluctance of technical editors to adopt electronic editing procedures. The theory advanced is that for many editors the greater responsiveness and tangibility of hard-copy editing creates inherent advantages over on-screen editing which they are unwilling to give up for potential gains in efficiency. ^ Preliminary qualitative research and a pilot survey produced substantial evidence that most technical communicators did indeed associate hard-copy editing with ergonomic, portability, and text-processing advantages. Most of those contacted, however, also valued the potential gains in efficiency of editing on screen. While a good number of them chose hard-copy markup over on-screen markup options, most reported frequently or primarily editing on screen. ^ A more in-depth study involving 20 face-to-face interviews with technical communicators at five different workplaces showed that organizational cultures mediate perceptions of electronic editing according to their unique configuration of priorities and established practices. Finally, a sample survey of 992 members of the Society for Technical Communication provided a global snapshot of editing practices in technical communication. In 1998, technical communicators who edited others were about evenly divided between those who used hard-copy markup alone as their primary editing method and those who used one form or another of keyboarding changes and annotations directly into computer files. Most technical communicators who edited others used both hard copy and electronic editing procedures, alternately or together. About two-thirds at least occasionally used some form of electronic procedures when editing others, and most of those used hard copy to mark up or to proofread as part of their standard electronic editing process. ^ The erratic diffusion of electronic editing in technical communication is explained from a theoretical perspective that combines the Diffusion of Innovations theory and the explanatory conceptual framework of cultural-historical activity theory. Predictions about the future evolution of electronic editing practices are offered, along with recommendations for future research into technical editing and, more generally, the adoption and diffusion process by which new technologies affect the lifeworlds of practitioners. ^","Survey|Interview / Focus Group|Model-Building ~check","",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,1,0,1,0,2,"Language, Rhetoric and Composition","Electronic editing|Innovation diffusion|Technical communication","Chairperson","Carolyn R. Rude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","3015815","Education","ARILL, AMY ANNETTE BENITEZ","Exploring single sex and mixed peer revision on English as a second language writing of Puerto Rican college students","University of Puerto Rico-Rio Piedras Campus","Ed.D.",2001,172,"In spite of the empirical evidence advocating the use of peer revision on L2 writing, ESL instructors still have reservations of its effectiveness. Further research on the effects of peer revision on L2 writing is still needed in order to justify its continued use in the ESL classroom. This study sought to investigate single sex and mixed peer revision on English as a Second Language writing of Puerto Rican college students. Four questions were guided this investigation. ^ This study followed a descriptive design. Methodological triangulation or a multiple data collection strategy was applied. A qualitative and quantitative research approach was used to analyze the data. The participants were twenty advanced ESL college students enrolled in a writing course. The interaction between pairs of students as it occurred during two revision sessions was recorded and transcribed. An analysis of results based on the transcripts, the students' first drafts, revision sheets, and final drafts revealed an extremely complex and productive interactive process among the dyads studied. Five different mediating strategies were identified: employing symbols and external resources, using the L1, providing scaffolding, resorting to interlanguage knowledge and vocalizing private speech. Results revealed that female and mixed dyads showed more management of authorial control, collaboration, affectivity, and adopting reader/writer roles than male dyads. Only one male dyad carried out a collaborative interaction. ^ The language device of interruptions was used to analyze the extent that gender arrangements by sex pairs (same vs. mixed) in mediated assistance affected the development of the written texts. Findings showed that female and mixed dyads worked better and incorporated more revisions in their final versions. In the Puerto Rican context, male-male combination was not an effective mix in the revision process. Findings of this study have pedagogical implications for the English curriculum in Puerto Rico. Teachers should consider peer revision as a useful language learning experience. The study's findings suggest ESL/EFL teachers to adopt instructional methods and provide a social environment that accommodates a variety of styles for both females and males. ^","Experimental ~check|Practitioner / Teacher Research|Discourse or Text Analysis|Clinical / Case Study","",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,2,"Sociology, Ethnic and Racial Studies|Language, Rhetoric and Composition|Education, Higher","English as a second language|College students|Puerto Rican|Writing|Peer revision","Chairperson","Maria A. Irizarry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","3016185","Social History","BURNS, ROCHELLE CARR","""Family values"" rhetoric of United States polticians and social activists, 1950--2000","Union Institute & University","Ph.D.",2001,270,"Throughout 1950_Ê_2000 there were numerous United States politicians and social activists speaking on what they termed _Ê_family values._Êù Their rhetoric was vague, for they rarely went much beyond the term _Ê_family values_Êù to explain what they meant. Even those who went beyond the term _Ê_family values_Êù very often talked more about family structure than actual _Ê_values._Êù That fact often left the impression that the structure of the family would somehow bring about _Ê_family values,_Êù whatever they felt that latter term to mean. ^ Although there were many who sincerely wanted to help families, many of those US politicians and social activists rendered the perception they had a personal or political agenda to vaunt and were using the term _Ê_family values_Êù to capture the attention of the US public. ^ This work examined the term _Ê_family values_Êù through the research of a social historian to try to determine what those rhetoricians meant. The finding was there was no definition that was quantifiable, universal (for all US families), and time-resistant for _Ê_family values._Êù I am not saying values did not exist in families during 1950_Ê_2000 in the United States. What I am saying is that the term _Ê_family values_Êù was not a definable concept, and as a result families were trying to cope with a specific concept that did not exist. ^ I made this determination after researching the exact words of US politicians and social activists between 1950_Ê_2000 through their autobiographies, and Mission Statements on their websites. These two primary sources were used to obtain their exact words and the context in which they spoke. ^ The purpose of this work was to lessen pressures on families that rhetoricians seemed to be imposing on them by stating they were not living up to certain _Ê_family values,_Êù a term, as stated above, that is not definable. This PDE achieved its purpose of lessening pressures on US families by proving that _Ê_family values_Êù did not exist in universal or time-resistant terms and therefore only individuals or, in some cases the family as a unit, determined what was best for their family, however they chose to define family. ^","Historical / Archival ~check","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"History, United States|History, Modern|Sociology, Individual and Family Studies|Language, Rhetoric and Composition","Family values|Rhetoric|Social activists|Politicians","Adviser","Marvin B. Sussman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","3019085","Rhetoric and Professional Communication","DYKE, JULIE LYNN","Knowledge transfer across disciplines: Tracking rhetorical strategies from technical communication to engineering contexts","New Mexico State University-Main Campus","Ph.D.",2001,198,"This descriptive exploratory study investigates the transfer of rhetorical knowledge between contexts. In particular, it examines which rhetorical strategies students in an upper-level engineering course rely on to complete writing assignments. Most engineering students, by the time they are upper-level, have taken a university technical communication course. Through various methods of data collection, I examine what students learned in that course and whether or not they rely on that knowledge as they complete writing assignments in an engineering class. I also discover the other academic and workplace experiences that have shaped students' rhetorical knowledge. I examine processes employed by students to produce written products, investigate the ways in which students' learned these processes, and identify the ways in which students articulate rhetorical concepts. ^ This study is important because we know very little about how the content we teach students in technical communication courses is being transferred, or whether it is transferred at all. Only a few researchers have examined the ways in which rhetorical skills and strategies are transferred from one course to another. These studies devoted to learning transfer indicate that often students are unable to make connections between different courses or different contexts, even when those situations require similar rhetorical strategies. ^ This study is timely because engineering as a discipline is currently engaged with issues of how to prepare students for the communicative demands of the profession, in part because of accreditation concerns raised by the Accreditation Board for Engineering and Technology (ABET). This study should be of interest to all of us who wonder what happens to the knowledge, skills, and practice of rhetoric as it leaves our classrooms and enters new spheres of learning and professional practice. ^","Clinical / Case Study ~check|Interview / Focus Group ~check","",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"Language, Rhetoric and Composition","Engineering|Knowledge transfer|Rhetorical|Technical communication","Chair","Stephen A. Bernhardt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
